date,name,value,icon
0023,"Carolina Patrocínio",1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Carolina_Patroc%C3%ADnio_%28XXII_Globos_de_Ouro%2C_2017%29.png/330px-Carolina_Patroc%C3%ADnio_%28XXII_Globos_de_Ouro%2C_2017%29.png
0024,"Luciana Abreu",1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png/330px-Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png
0025,"Joana Ferrer Antunes",1,
0026,"Carlos Gabriel",1,
0027,"Christina Rocha",1,
0027,"Lia Tchissola",1,
0028,Misses,1,
0029,Nenucos,1,
0030,"Ana Leal",1,
0030,"João Pedro",1,
0030,"Ana Claudia",1,
0030,"Salvador Sobral",1,
0030,"José Figueiras",1,
0031,"Presentes de Natal",1,
0032,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0033,"Jorge Moreira",1,
0033,"Kátia Aveiro",1,
0033,"Dolores Aveiro",1,
0033,"Simao Sabrosa",1,
0033,"Luciana Abreu",1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png/330px-Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png
0034,"Passagem de ano",1,
0035,"Resoluções de ano novo",1,
0035,"Miguel Sousa Tavares",1,
0036,"Mergulhadores do Novo Ano",1,
0037,"Paulo Cardoso",1,
0037,"Maya (taróloga)",1,https://dioguinho.com/wp-content/uploads/2024/12/tia-maya-.jpg
0037,"Maria Helena",1,
0038,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0038,Uber,1,
0039,"Palavras do ano",1,
0040,Síndromes,1,
0041,"Manuela Moura Guedes",1,
0042,"Anuncios de emagrecimento",1,
0043,"Rita Ferro Rodrigues",1,
0043,"Daniela Ruah",1,
0043,"Filomena Cautela",1,
0043,"Silvia Alberto",1,
0043,"Catarina Furtado",1,
0044,Tiagovski,1,
0045,"Ibraime J.",1,
0046,"Teresa Paula Marques",1,
0047,"Liliana Campos",1,
0047,"José Carlos Malato",1,
0047,Sismos,1,
0047,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0047,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0047,"Paulo Futre",1,
0048,"João Araújo",1,
0048,"José Sócrates",1,https://upload.wikimedia.org/wikipedia/commons/7/78/Josesocrates09082006.jpg
0048,"Valentim Loureiro",1,
0049,Iogurtes,1,
0049,"Carlos Lopes",1,
0049,"Paula Neves",1,
0049,"Fernanda Serrano",1,
0049,"Luis Figo",1,
0050,"Reporteres do CM",1,
0050,Mirones,1,
0051,"Padre Gonçalo Porto",1,
0052,"Conceição Lino",1,
0053,"Elle Darby",1,
0054,"Fãs de Artistas",1,
0054,"Sérgio Cardoso",1,
0054,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0055,"Clientes Intermache",1,
0056,"André Ventura",1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Andr%C3%A9_Ventura_VIVA_24.jpg/1024px-Andr%C3%A9_Ventura_VIVA_24.jpg
0056,"Teresa Paula Marques",1,
0057,"Gustavo Santos",1,https://media-manager.noticiasaominuto.com/640/naom_613002dac4937.webp?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoxMDc4LCJjcm9wSGVpZ2h0Ijo2MDYsImNyb3BYIjowLCJjcm9wWSI6MH0sInBvcnRyYWl0Ijp7ImNyb3BXaWR0aCI6NjA3LCJjcm9wSGVpZ2h0IjoxMDc5LCJjcm9wWCI6MjIzLCJjcm9wWSI6MX19
0057,"Grupos de Mães",1,
0058,"Adeptos do Benfica",1,
0058,"Jorge Jesus",1,https://upload.wikimedia.org/wikipedia/commons/1/18/2020-02-17_Encontro_com_T%C3%A9cnico_do_Flamengo%2C_Jorge_Jesus_%28cropped%29.jpg
0058,Marinho,1,
0058,Bruma,1,
0058,Jonathan,1,
0059,"Orlando Figueira",1,
0059,"Manuel Vicente",1,
0060,"José Pinto Coelho",1,
0061,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0062,"Spice Girls",1,
0063,"Jorge Nuno Pinto da Costa",1,
0063,"Luís Filipe Vieira",1,
0063,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0064,Foliões,1,
0065,"Hernâni Carvalho",1,
0065,"José Rodrigues dos Santos",1,
0065,"Dia de Darwin",1,
0066,"Importações do Brasil",1,
0066,"Fernando Medina",1,
0066,Açaí,1,
0066,"Eduardo Bolsonaro",1,
0066,"Deputados Brasileiros",1,
0067,"Tony Carreira",1,
0068,Stalkers,1,
0069,"Ano do Cão",1,
0070,"Joana Espadinha",1,
0070,"JP Simões",1,
0070,"José Pinto Coelho",1,
0070,"Festival da Canção",1,
0070,"José Cid",1,https://upload.wikimedia.org/wikipedia/commons/e/e3/Eurovision_Song_Contest_1980_postcards_-_Jos%C3%A9_Cid_08.png
0070,"Maria Amaral",1,
0071,"Rita Mendes",1,
0071,"Cláudio Ramos",1,https://www.atelevisao.com/wp-content/uploads/2024/03/Claudio-Ramos-2-860x490.jpg
0071,"José Rodrigues dos Santos",1,
0071,"Raul Minh'alma",1,
0071,"Pedro Chagas Freitas",1,
0071,"Maria Vieira",1,
0072,"Paula Neves",1,
0072,"Olga Cardoso",1,
0072,Batatinha,1,
0072,"Ruben André",1,
0072,"Marco Costa",1,
0072,"Clara de Sousa",1,
0073,"Donald Trump",1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/TrumpPortrait.jpg/1024px-TrumpPortrait.jpg
0073,"Tiroteios nos EUA",1,
0074,"Cláudia Pascoal",1,
0074,"Peter Serrado",1,
0074,"Festival da Canção",1,
0074,"Diogo Piçarra",1,
0074,"Minnie & Rhayra",1,
0075,"Isabela Cardinali",1,
0075,"Cátia Melo",1,
0075,"Nuno Jesus",1,
0075,"Rui Pedro Reis",1,
0075,"Gustavo Santos",1,https://media-manager.noticiasaominuto.com/640/naom_613002dac4937.webp?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoxMDc4LCJjcm9wSGVpZ2h0Ijo2MDYsImNyb3BYIjowLCJjcm9wWSI6MH0sInBvcnRyYWl0Ijp7ImNyb3BXaWR0aCI6NjA3LCJjcm9wSGVpZ2h0IjoxMDc5LCJjcm9wWCI6MjIzLCJjcm9wWSI6MX19
0075,"Manuel Luís Goucha",1,
0075,"Casa dos Segredos",1,
0076,"Sofia Fernandes",1,
0076,"Joana Coelho",1,
0076,"Sofia Sousa",1,
0076,"Margarida Menezes",1,
0076,"Marlene Santos",1,
0076,"Casa dos Segredos",1,
0077,"Rúben Semedo",1,
0077,"Gelson Martins",1,
0078,"Maria Leal",1,
0079,"Afonso Maló",1,
0079,"Marta Cardoso",1,
0079,"Filipa Maló Franco",1,
0080,"Paula Lobo Antunes",1,
0080,"Monica Sintra",1,
0080,"Lili Caneças",1,https://upload.wikimedia.org/wikipedia/commons/9/9a/Lili_Cane%C3%A7as_%28XXII_Globos_de_Ouro%2C_2017%29.png
0080,"Cláudia Vieira",1,
0080,"Inês Herédia",1,
0080,"Ricardo Carriço",1,
0080,"Patrícia Carvalho",1,
0080,"Clara de Sousa",1,
0081,"Salvador Sobral",1,
0081,"Bento Rodrigues",1,
0081,"Tony Carreira",1,
0081,"Judite Sousa",1,
0081,"João Adelino Faria",1,
0082,"António Prôa",1,
0082,"Maria Teixeira Pinto",1,
0082,"Fátima Campos Ferreira",1,https://cision-wp-files.s3.amazonaws.com/pt/wp-content/uploads/2020/09/11120339/Fatima-Campos1.png
0082,"Renato Epifânio",1,
0082,"Animais em restaurantes",1,
0083,"Guilherme Duarte",1,
0083,"António Prôa",1,
0083,"Fátima Campos Ferreira",1,https://cision-wp-files.s3.amazonaws.com/pt/wp-content/uploads/2020/09/11120339/Fatima-Campos1.png
0083,"Animais em restaurantes",1,
0084,"Tom Cruise",1,
0084,"Luciana Abreu",1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png/330px-Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png
0084,"Elton John",1,
0084,"Mário Soares",1,
0084,"Freitas do Amaral",1,
0084,"Cometa Halley",1,
0084,"Diego Maradona",1,
0084,"Donald Trump",1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/TrumpPortrait.jpg/1024px-TrumpPortrait.jpg
0085,"Congressos do CDS",1,
0085,"Assunção Cristas",1,
0086,"Dona Margarida",1,
0086,"Rute Rita",1,
0086,"José Tejada",1,
0086,"Júlia Pinheiro",1,
0087,"Utilizadores da Bimby",1,
0087,"Joana Vasconcelos",1,
0088,"Neymar Júnior",1,
0088,"Stephen Hawking",1,
0089,"Cristiano Ronaldo",1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/7bcb/live/0154c130-e3a7-11ef-8450-ff58a15d40df.jpg
0089,"Boss AC",1,
0089,"Manuel Maria Carrilho",1,
0089,"Paula Bobone",1,
0089,Bonga,1,
0089,Quimbé,1,
0089,"Hernâni Carvalho",1,
0090,Excesso,1,
0090,"Ricky Vieira",1,
0090,"Filipe Neves",1,
0090,D'Arrasar,1,
0090,"Backstreet Boys",1,
0090,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0091,"Georgina Rodríguez",1,
0091,"Cristiano Ronaldo",1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/7bcb/live/0154c130-e3a7-11ef-8450-ff58a15d40df.jpg
0091,"Catarina Furtado",1,
0091,"José Mourinho",1,
0091,"Pedro Pinto",1,
0091,"Diogo Piçarra",1,
0091,"Sónia Araújo",1,
0092,"Viver em Lisboa",1,
0093,"Pessoas anti-vacinas",1,
0094,"Gustavo Santos",1,https://media-manager.noticiasaominuto.com/640/naom_613002dac4937.webp?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoxMDc4LCJjcm9wSGVpZ2h0Ijo2MDYsImNyb3BYIjowLCJjcm9wWSI6MH0sInBvcnRyYWl0Ijp7ImNyb3BXaWR0aCI6NjA3LCJjcm9wSGVpZ2h0IjoxMDc5LCJjcm9wWCI6MjIzLCJjcm9wWSI6MX19
0095,"Reclamações no Tripadvisor",1,
0096,"José Cruz",1,
0096,"Fátima Campos Ferreira",1,https://cision-wp-files.s3.amazonaws.com/pt/wp-content/uploads/2020/09/11120339/Fatima-Campos1.png
0096,"Pessoas anti-vacinas",1,
0097,Polícias,1,
0097,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0098,"Maiores Mentiras",1,
0099,"Mentiras Vintage",1,
0100,"Viagens de Finalistas",1,
0100,"Quim Barreiros",1,
0101,"Nasim Aghdam",1,
0101,Youtube,1,
0101,"Ana Galvão",1,https://images.rr.pt/ana-galvao-20-anos-sic-mulher60000577_base.jpg
0101,Myriam,1,
0101,Vegans,1,
0102,"Luciana Abreu",1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png/330px-Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png
0102,"Ana Malhoa",1,
0102,"DJ Maci",1,
0102,Beto,1,
0102,"Caso Paula",1,
0102,"Ricardo Quaresma",1,
0102,"Julen Lopetegui",1,
0103,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0104,"Família Rebelo",1,
0104,"Ass. Famílias Numerosas",1,
0105,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0105,"Jornal i",1,
0106,"Marta Cardoso",1,
0106,"José Cid",1,https://upload.wikimedia.org/wikipedia/commons/e/e3/Eurovision_Song_Contest_1980_postcards_-_Jos%C3%A9_Cid_08.png
0106,Alentejanos,1,
0106,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0106,"Rui Veloso",1,
0107,"O pénis azul",1,
0107,"Joana Vasconcelos",1,
